location,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport,Da Nang International Airport
lat,15.87821,15.87821,15.87821,15.87821
lon,108.28125,108.28125,108.28125,108.28125
asl,26.241,26.241,26.241,26.241
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total
unit,°C,%,hPa,mm
level,2 m elevation corrected,2 m,MSL,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
,,,,
,,,,
timestamp,Temperature,Relative Humidity,Mean Sea Level Pressure,Total Precipitation
20190119T1800,23.315565,92.77748,1015.1,0
20190119T1900,23.095566,92.31539,1015.7,0.1
20190119T2000,23.415565,91.76939,1016.2,0.1
20190119T2100,23.715567,89.6286,1016.7,0
20190119T2200,22.805567,90.67469,1016.6,0
20190119T2300,22.775566,91.90489,1016.5,0
20190120T0000,22.435566,92.28332,1016.2,0
20190120T0100,22.465567,90.93347,1016,0
20190120T0200,22.665565,89.72349,1015.4,0
20190120T0300,22.295567,92.106346,1014.8,0
20190120T0400,22.575565,91.72549,1015.1,0
20190120T0500,22.225567,94.22073,1014.7,0
20190120T0600,22.245565,95.20861,1015.1,0
20190120T0700,22.185566,95.440605,1015.8,0
20190120T0800,22.145567,97.50639,1016.6,0
20190120T0900,24.255566,86.129036,1017,0.2
20190120T1000,24.655565,82.7102,1017.1,0.1
20190120T1100,24.575565,83.15839,1016.3,0
20190120T1200,25.375566,77.880806,1016.2,0.3
20190120T1300,24.865566,79.943306,1014.8,0.2
20190120T1400,25.275566,77.62801,1014,0.1
20190120T1500,24.795567,85.28972,1013.6,0.3
20190120T1600,24.535566,84.435776,1014,0.4
20190120T1700,22.995565,88.64981,1014.7,0.5
20190120T1800,23.275566,89.48955,1014.9,0.2
20190120T1900,23.135567,89.809814,1015.4,0.1
20190120T2000,23.455566,88.57512,1015.9,0.2
20190120T2100,23.445566,90.657486,1016.1,0.1
20190120T2200,23.765566,89.850945,1016.7,0.3
20190120T2300,23.025566,88.16293,1016.4,0.8
20190121T0000,22.225567,92.4434,1016.3,0.6
20190121T0100,22.415565,90.76282,1015.9,0.5
20190121T0200,22.515566,90.10097,1015.5,0.3
20190121T0300,22.335566,92.278404,1015.6,0.3
20190121T0400,22.405565,93.59384,1015.7,0.4
20190121T0500,22.605566,90.99763,1016.2,0.2
20190121T0600,22.635567,93.08848,1016.8,0.6
20190121T0700,22.365566,92.56382,1017.4,0.3
20190121T0800,22.665565,98.34611,1018.6,0
20190121T0900,24.935566,86.92569,1019.1,0.4
20190121T1000,25.135567,84.34154,1019,2.1
20190121T1100,25.245565,84.19882,1018.3,2.4
20190121T1200,24.675566,87.80685,1018,1.7
20190121T1300,24.595566,90.77971,1017.2,0.2
20190121T1400,24.305567,91.592415,1016.4,0.2
20190121T1500,23.495565,93.75014,1016.3,1.1
20190121T1600,24.295567,91.5919,1016.3,1.5
20190121T1700,22.565565,94.23265,1016.8,1.2
20190121T1800,22.895567,91.23784,1017.3,0.6
20190121T1900,22.995565,90.02126,1017.6,0.7
20190121T2000,23.145567,88.44339,1018.3,0.8
20190121T2100,22.935566,89.30163,1018.6,1
20190121T2200,22.565565,89.27575,1018.8,0.9
20190121T2300,22.255566,87.993805,1018.8,0.7
20190122T0000,21.985565,88.90385,1018.8,0.6
20190122T0100,21.605566,88.71028,1018.3,0.5
20190122T0200,21.395567,89.58126,1018.5,0.2
20190122T0300,21.055567,91.131905,1018.4,0.5
20190122T0400,20.955566,91.012665,1018.4,0.5
20190122T0500,21.005566,89.889435,1019.2,0.4
20190122T0600,21.125566,90.12163,1019.4,0
20190122T0700,20.915565,90.897,1020,0.4
20190122T0800,21.205566,92.3934,1021,0.1
20190122T0900,22.515566,86.55767,1021.5,0.1
20190122T1000,21.785566,84.25723,1022,1
20190122T1100,22.285566,87.29104,1021.5,0.3
20190122T1200,22.835566,84.10576,1020.9,0
20190122T1300,22.445566,84.95686,1019.6,0.1
20190122T1400,21.825565,85.1597,1019.1,0.1
